,Date,Crime type,County,Amount
0,2003Q1,Crimes affecting personal safety,Carlow,241
1,2003Q1,Crimes affecting personal safety,Cavan,288
2,2003Q1,Crimes affecting personal safety,Clare,419
3,2003Q1,Crimes affecting personal safety,Cork,2034
4,2003Q1,Crimes affecting personal safety,Donegal,884
5,2003Q1,Crimes affecting personal safety,Dublin,7012
6,2003Q1,Crimes affecting personal safety,Galway,876
7,2003Q1,Crimes affecting personal safety,Kerry,496
8,2003Q1,Crimes affecting personal safety,Kildare,709
9,2003Q1,Crimes affecting personal safety,Kilkenny,241
10,2003Q1,Crimes affecting personal safety,Laois,301
11,2003Q1,Crimes affecting personal safety,Leitrim,229
12,2003Q1,Crimes affecting personal safety,Limerick,1163
13,2003Q1,Crimes affecting personal safety,Longford,156
14,2003Q1,Crimes affecting personal safety,Louth,698
15,2003Q1,Crimes affecting personal safety,Mayo,496
16,2003Q1,Crimes affecting personal safety,Meath,418
17,2003Q1,Crimes affecting personal safety,Monaghan,288
18,2003Q1,Crimes affecting personal safety,Offaly,301
19,2003Q1,Crimes affecting personal safety,Roscommon,156
20,2003Q1,Crimes affecting personal safety,Sligo,229
21,2003Q1,Crimes affecting personal safety,Tipperary,483
22,2003Q1,Crimes affecting personal safety,Waterford,566
23,2003Q1,Crimes affecting personal safety,Westmeath,377
24,2003Q1,Crimes affecting personal safety,Wexford,440
25,2003Q1,Crimes affecting personal safety,Wicklow,500
26,2003Q1,Drug offences,Carlow,90
27,2003Q1,Drug offences,Cavan,26
28,2003Q1,Drug offences,Clare,84
29,2003Q1,Drug offences,Cork,470
30,2003Q1,Drug offences,Donegal,156
31,2003Q1,Drug offences,Dublin,1261
32,2003Q1,Drug offences,Galway,118
33,2003Q1,Drug offences,Kerry,100
34,2003Q1,Drug offences,Kildare,150
35,2003Q1,Drug offences,Kilkenny,90
36,2003Q1,Drug offences,Laois,80
37,2003Q1,Drug offences,Leitrim,28
38,2003Q1,Drug offences,Limerick,134
39,2003Q1,Drug offences,Longford,10
40,2003Q1,Drug offences,Louth,59
41,2003Q1,Drug offences,Mayo,32
42,2003Q1,Drug offences,Meath,38
43,2003Q1,Drug offences,Monaghan,26
44,2003Q1,Drug offences,Offaly,80
