"STATISTIC Label","Quarter","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q1","Cork City Council","Number","39"
"New Dwelling Completion","2011Q1","Clare County Council","Number","52"
"New Dwelling Completion","2011Q1","Cavan County Council","Number","61"
"New Dwelling Completion","2011Q1","Cork County Council","Number","168"
"New Dwelling Completion","2011Q1","Carlow County Council","Number","17"
"New Dwelling Completion","2011Q1","Dublin City Council","Number","72"
"New Dwelling Completion","2011Q1","Dún Laoghaire Rathdown County Council","Number","30"
"New Dwelling Completion","2011Q1","Donegal County Council","Number","118"
"New Dwelling Completion","2011Q1","Fingal County Council","Number","144"
"New Dwelling Completion","2011Q1","Galway County Council","Number","93"
"New Dwelling Completion","2011Q1","Galway City Council","Number","15"
"New Dwelling Completion","2011Q1","Kildare County Council","Number","126"
"New Dwelling Completion","2011Q1","Kilkenny County Council","Number","40"
"New Dwelling Completion","2011Q1","Kerry County Council","Number","62"
"New Dwelling Completion","2011Q1","Longford County Council","Number","11"
"New Dwelling Completion","2011Q1","Louth County Council","Number","48"
"New Dwelling Completion","2011Q1","Limerick City & County Council","Number","54"
"New Dwelling Completion","2011Q1","Leitrim County Council","Number","42"
"New Dwelling Completion","2011Q1","Laois County Council","Number","34"
"New Dwelling Completion","2011Q1","Meath County Council","Number","70"
"New Dwelling Completion","2011Q1","Monaghan County Council","Number","26"
"New Dwelling Completion","2011Q1","Mayo County Council","Number","67"
"New Dwelling Completion","2011Q1","Offaly County Council","Number","28"
"New Dwelling Completion","2011Q1","Roscommon County Council","Number","26"
"New Dwelling Completion","2011Q1","South Dublin County Council","Number","41"
"New Dwelling Completion","2011Q1","Sligo County Council","Number","52"
"New Dwelling Completion","2011Q1","Tipperary County Council","Number","63"
"New Dwelling Completion","2011Q1","Waterford City & County Council","Number","96"
"New Dwelling Completion","2011Q1","Westmeath County Council","Number","33"
"New Dwelling Completion","2011Q1","Wicklow County Council","Number","74"
"New Dwelling Completion","2011Q1","Wexford County Council","Number","73"
"New Dwelling Completion","2011Q2","Cork City Council","Number","36"
"New Dwelling Completion","2011Q2","Clare County Council","Number","49"
"New Dwelling Completion","2011Q2","Cavan County Council","Number","28"
"New Dwelling Completion","2011Q2","Cork County Council","Number","200"
"New Dwelling Completion","2011Q2","Carlow County Council","Number","24"
"New Dwelling Completion","2011Q2","Dublin City Council","Number","109"
"New Dwelling Completion","2011Q2","Dún Laoghaire Rathdown County Council","Number","68"
"New Dwelling Completion","2011Q2","Donegal County Council","Number","139"
"New Dwelling Completion","2011Q2","Fingal County Council","Number","134"
"New Dwelling Completion","2011Q2","Galway County Council","Number","108"
"New Dwelling Completion","2011Q2","Galway City Council","Number","17"
"New Dwelling Completion","2011Q2","Kildare County Council","Number","42"
"New Dwelling Completion","2011Q2","Kilkenny County Council","Number","50"
"New Dwelling Completion","2011Q2","Kerry County Council","Number","67"
"New Dwelling Completion","2011Q2","Longford County Council","Number","14"
"New Dwelling Completion","2011Q2","Louth County Council","Number","53"
"New Dwelling Completion","2011Q2","Limerick City & County Council","Number","49"
"New Dwelling Completion","2011Q2","Leitrim County Council","Number","13"
"New Dwelling Completion","2011Q2","Laois County Council","Number","33"
"New Dwelling Completion","2011Q2","Meath County Council","Number","64"
"New Dwelling Completion","2011Q2","Monaghan County Council","Number","21"
"New Dwelling Completion","2011Q2","Mayo County Council","Number","59"
"New Dwelling Completion","2011Q2","Offaly County Council","Number","36"
"New Dwelling Completion","2011Q2","Roscommon County Council","Number","54"
"New Dwelling Completion","2011Q2","South Dublin County Council","Number","16"
"New Dwelling Completion","2011Q2","Sligo County Council","Number","34"
"New Dwelling Completion","2011Q2","Tipperary County Council","Number","94"
"New Dwelling Completion","2011Q2","Waterford City & County Council","Number","29"
"New Dwelling Completion","2011Q2","Westmeath County Council","Number","37"
"New Dwelling Completion","2011Q2","Wicklow County Council","Number","37"
"New Dwelling Completion","2011Q2","Wexford County Council","Number","77"
"New Dwelling Completion","2011Q3","Cork City Council","Number","51"
"New Dwelling Completion","2011Q3","Clare County Council","Number","47"
"New Dwelling Completion","2011Q3","Cavan County Council","Number","45"
"New Dwelling Completion","2011Q3","Cork County Council","Number","164"
"New Dwelling Completion","2011Q3","Carlow County Council","Number","24"
"New Dwelling Completion","2011Q3","Dublin City Council","Number","41"
"New Dwelling Completion","2011Q3","Dún Laoghaire Rathdown County Council","Number","15"
"New Dwelling Completion","2011Q3","Donegal County Council","Number","115"
"New Dwelling Completion","2011Q3","Fingal County Council","Number","96"
"New Dwelling Completion","2011Q3","Galway County Council","Number","105"
"New Dwelling Completion","2011Q3","Galway City Council","Number","9"
"New Dwelling Completion","2011Q3","Kildare County Council","Number","42"
"New Dwelling Completion","2011Q3","Kilkenny County Council","Number","84"
"New Dwelling Completion","2011Q3","Kerry County Council","Number","77"
"New Dwelling Completion","2011Q3","Longford County Council","Number","12"
"New Dwelling Completion","2011Q3","Louth County Council","Number","31"
