,Year,County,VALUE
0,2003,Carlow,8.4
1,2004,Carlow,8.6
2,2005,Carlow,14.6
3,2006,Carlow,18.4
4,2007,Carlow,10.6
5,2008,Carlow,6.4
6,2009,Carlow,0.1
7,2010,Carlow,-2.7
8,2011,Carlow,-0.7
9,2012,Carlow,-0.6
10,2013,Carlow,-0.4
11,2014,Carlow,-0.2
12,2015,Carlow,0.1
13,2016,Carlow,0.4
14,2017,Carlow,8.0
15,2018,Carlow,8.9
16,2019,Carlow,8.7
17,2020,Carlow,8.7
18,2021,Carlow,4.3
19,2022,Carlow,10.0
20,2023,Carlow,14.9
21,2024,Carlow,15.2
22,2003,Cavan,17.3
23,2004,Cavan,17.8
24,2005,Cavan,30.1
25,2006,Cavan,38.0
26,2007,Cavan,49.8
27,2008,Cavan,29.9
28,2009,Cavan,0.6
29,2010,Cavan,-12.6
30,2011,Cavan,7.7
31,2012,Cavan,7.2
32,2013,Cavan,5.3
33,2014,Cavan,2.3
34,2015,Cavan,-1.7
35,2016,Cavan,-4.4
36,2017,Cavan,5.6
37,2018,Cavan,6.3
38,2019,Cavan,6.1
39,2020,Cavan,6.1
40,2021,Cavan,3.0
41,2022,Cavan,7.0
42,2023,Cavan,10.4
43,2024,Cavan,10.6
44,2003,Clare,6.5
45,2004,Clare,6.7
46,2005,Clare,11.3
47,2006,Clare,14.3
48,2007,Clare,6.5
49,2008,Clare,3.9
50,2009,Clare,0.1
51,2010,Clare,-1.6
52,2011,Clare,-8.1
53,2012,Clare,-7.6
54,2013,Clare,-5.5
55,2014,Clare,-2.4
56,2015,Clare,1.8
57,2016,Clare,4.6
58,2017,Clare,8.2
59,2018,Clare,9.1
60,2019,Clare,8.9
61,2020,Clare,8.9
62,2021,Clare,4.4
63,2022,Clare,10.2
64,2023,Clare,15.2
65,2024,Clare,15.5
66,2003,Cork,7.1
67,2004,Cork,7.3
68,2005,Cork,12.4
69,2006,Cork,15.6
70,2007,Cork,15.0
71,2008,Cork,9.0
72,2009,Cork,0.2
73,2010,Cork,-3.8
74,2011,Cork,4.3
75,2012,Cork,4.0
76,2013,Cork,2.9
77,2014,Cork,1.3
78,2015,Cork,-0.9
79,2016,Cork,-2.4
80,2017,Cork,7.2
81,2018,Cork,8.0
82,2019,Cork,7.9
83,2020,Cork,7.9
84,2021,Cork,3.8
85,2022,Cork,9.0
86,2023,Cork,13.4
87,2024,Cork,13.7
88,2003,Donegal,7.7
89,2004,Donegal,7.9
90,2005,Donegal,13.4
91,2006,Donegal,16.9
92,2007,Donegal,31.5
93,2008,Donegal,18.9
94,2009,Donegal,0.4
95,2010,Donegal,-8.0
96,2011,Donegal,-13.5
97,2012,Donegal,-12.6
98,2013,Donegal,-9.2
99,2014,Donegal,-4.1
100,2015,Donegal,2.9
101,2016,Donegal,7.7
102,2017,Donegal,4.4
103,2018,Donegal,5.0
104,2019,Donegal,4.9
105,2020,Donegal,4.9
106,2021,Donegal,2.4
107,2022,Donegal,5.6
108,2023,Donegal,8.3
109,2024,Donegal,8.5
110,2003,Dublin,3.3
111,2004,Dublin,3.4
112,2005,Dublin,5.7
113,2006,Dublin,7.2
114,2007,Dublin,9.4
115,2008,Dublin,5.7
116,2009,Dublin,0.1
117,2010,Dublin,-2.4
118,2011,Dublin,5.0
119,2012,Dublin,4.7
120,2013,Dublin,3.4
121,2014,Dublin,1.5
122,2015,Dublin,-1.1
123,2016,Dublin,-2.8
124,2017,Dublin,6.7
125,2018,Dublin,7.5
126,2019,Dublin,7.3
127,2020,Dublin,7.3
128,2021,Dublin,3.6
129,2022,Dublin,8.4
130,2023,Dublin,12.5
131,2024,Dublin,12.7
132,2003,Galway,11.9
133,2004,Galway,12.2
134,2005,Galway,20.7
135,2006,Galway,26.1
136,2007,Galway,16.5
137,2008,Galway,9.9
138,2009,Galway,0.2
139,2010,Galway,-4.2
140,2011,Galway,-4.2
141,2012,Galway,-3.9
142,2013,Galway,-2.9
143,2014,Galway,-1.3
144,2015,Galway,0.9
145,2016,Galway,2.4
146,2017,Galway,6.4
147,2018,Galway,7.2
