,Year,County,VALUE
0,2003,Carlow,10.8
1,2004,Carlow,10.5
2,2005,Carlow,10.3
3,2006,Carlow,10.4
4,2007,Carlow,10.8
5,2008,Carlow,13.9
6,2009,Carlow,19.0
7,2010,Carlow,22.8
8,2011,Carlow,23.3
9,2012,Carlow,23.3
10,2013,Carlow,21.1
11,2014,Carlow,18.9
12,2015,Carlow,17.3
13,2016,Carlow,17.0
14,2017,Carlow,13.5
15,2018,Carlow,12.3
16,2019,Carlow,11.5
17,2020,Carlow,12.8
18,2021,Carlow,12.6
19,2022,Carlow,9.5
20,2023,Carlow,9.3
21,2024,Carlow,9.4
22,2003,Cavan,9.8
23,2004,Cavan,9.6
24,2005,Cavan,9.3
25,2006,Cavan,9.5
26,2007,Cavan,9.8
27,2008,Cavan,12.6
28,2009,Cavan,17.3
29,2010,Cavan,20.8
30,2011,Cavan,21.2
31,2012,Cavan,21.2
32,2013,Cavan,19.2
33,2014,Cavan,17.2
34,2015,Cavan,15.8
35,2016,Cavan,15.1
36,2017,Cavan,12.0
37,2018,Cavan,11.0
38,2019,Cavan,10.2
39,2020,Cavan,11.4
40,2021,Cavan,11.2
41,2022,Cavan,9.3
42,2023,Cavan,9.1
43,2024,Cavan,9.2
44,2003,Clare,8.7
45,2004,Clare,8.5
46,2005,Clare,8.3
47,2006,Clare,8.4
48,2007,Clare,8.7
49,2008,Clare,11.2
50,2009,Clare,15.3
51,2010,Clare,18.4
52,2011,Clare,18.8
53,2012,Clare,18.8
54,2013,Clare,17.1
55,2014,Clare,15.2
56,2015,Clare,14.0
57,2016,Clare,12.4
58,2017,Clare,9.8
59,2018,Clare,9.0
60,2019,Clare,8.4
61,2020,Clare,9.4
62,2021,Clare,9.2
63,2022,Clare,8.1
64,2023,Clare,7.9
65,2024,Clare,8.0
66,2003,Cork,7.6
67,2004,Cork,7.4
68,2005,Cork,7.3
69,2006,Cork,7.4
70,2007,Cork,7.6
71,2008,Cork,9.8
72,2009,Cork,13.5
73,2010,Cork,16.2
74,2011,Cork,16.5
75,2012,Cork,16.5
76,2013,Cork,15.0
77,2014,Cork,13.4
78,2015,Cork,12.3
79,2016,Cork,10.6
80,2017,Cork,8.4
81,2018,Cork,7.7
82,2019,Cork,7.1
83,2020,Cork,8.0
84,2021,Cork,7.9
85,2022,Cork,6.8
86,2023,Cork,6.6
87,2024,Cork,6.7
88,2003,Donegal,12.1
89,2004,Donegal,11.8
90,2005,Donegal,11.6
91,2006,Donegal,11.7
92,2007,Donegal,12.1
93,2008,Donegal,15.6
94,2009,Donegal,21.4
95,2010,Donegal,25.7
96,2011,Donegal,26.2
97,2012,Donegal,26.2
98,2013,Donegal,23.8
99,2014,Donegal,21.2
100,2015,Donegal,19.5
101,2016,Donegal,18.0
102,2017,Donegal,14.3
103,2018,Donegal,13.1
104,2019,Donegal,12.1
105,2020,Donegal,13.6
106,2021,Donegal,13.3
107,2022,Donegal,10.6
108,2023,Donegal,10.4
109,2024,Donegal,10.5
110,2003,Dublin,7.5
111,2004,Dublin,7.4
112,2005,Dublin,7.2
113,2006,Dublin,7.3
114,2007,Dublin,7.5
115,2008,Dublin,9.7
116,2009,Dublin,13.3
117,2010,Dublin,16.0
118,2011,Dublin,16.3
119,2012,Dublin,16.3
120,2013,Dublin,14.8
121,2014,Dublin,13.2
122,2015,Dublin,12.1
123,2016,Dublin,11.0
124,2017,Dublin,8.7
125,2018,Dublin,8.0
126,2019,Dublin,7.4
127,2020,Dublin,8.3
128,2021,Dublin,8.1
129,2022,Dublin,7.9
130,2023,Dublin,7.7
131,2024,Dublin,7.8
132,2003,Galway,8.4
133,2004,Galway,8.2
134,2005,Galway,8.0
135,2006,Galway,8.1
136,2007,Galway,8.4
137,2008,Galway,10.8
138,2009,Galway,14.8
139,2010,Galway,17.7
140,2011,Galway,18.1
141,2012,Galway,18.1
142,2013,Galway,16.4
143,2014,Galway,14.7
144,2015,Galway,13.5
145,2016,Galway,11.7
146,2017,Galway,9.3
147,2018,Galway,8.5
148,2019,Galway,7.9
149,2020,Galway,8.8
150,2021,Galway,8.7
151,2022,Galway,7.2
152,2023,Galway,7.0
153,2024,Galway,7.1
154,2003,Kerry,9.0
155,2004,Kerry,8.8
156,2005,Kerry,8.6
157,2006,Kerry,8.7
158,2007,Kerry,9.0
159,2008,Kerry,11.6
160,2009,Kerry,15.9
161,2010,Kerry,19.1
162,2011,Kerry,19.5
163,2012,Kerry,19.5
164,2013,Kerry,17.7
165,2014,Kerry,15.8
166,2015,Kerry,14.5
167,2016,Kerry,12.4
168,2017,Kerry,9.8
169,2018,Kerry,9.0
170,2019,Kerry,8.4
171,2020,Kerry,9.4
172,2021,Kerry,9.2
173,2022,Kerry,9.0
174,2023,Kerry,8.8
175,2024,Kerry,8.9
176,2003,Kildare,8.3
177,2004,Kildare,8.1
178,2005,Kildare,7.9
179,2006,Kildare,8.0
180,2007,Kildare,8.3
181,2008,Kildare,10.6
182,2009,Kildare,14.6
183,2010,Kildare,17.5
184,2011,Kildare,17.9
185,2012,Kildare,17.9
186,2013,Kildare,16.2
187,2014,Kildare,14.5
188,2015,Kildare,13.3
189,2016,Kildare,11.4
190,2017,Kildare,9.0
191,2018,Kildare,8.3
192,2019,Kildare,7.7
193,2020,Kildare,8.6
194,2021,Kildare,8.4
195,2022,Kildare,7.3
196,2023,Kildare,7.1
197,2024,Kildare,7.2
198,2003,Kilkenny,9.0
199,2004,Kilkenny,8.8
200,2005,Kilkenny,8.6
201,2006,Kilkenny,8.7
202,2007,Kilkenny,9.0
203,2008,Kilkenny,11.5
204,2009,Kilkenny,15.8
205,2010,Kilkenny,19.0
206,2011,Kilkenny,19.4
207,2012,Kilkenny,19.4
208,2013,Kilkenny,17.6
209,2014,Kilkenny,15.7
210,2015,Kilkenny,14.4
211,2016,Kilkenny,12.7
212,2017,Kilkenny,10.1
213,2018,Kilkenny,9.2
214,2019,Kilkenny,8.6
215,2020,Kilkenny,9.6
216,2021,Kilkenny,9.4
217,2022,Kilkenny,8.0
218,2023,Kilkenny,7.8
219,2024,Kilkenny,7.9
220,2003,Laois,9.9
221,2004,Laois,9.7
222,2005,Laois,9.4
223,2006,Laois,9.5
